source_file,count
10m-0-203-0-11621-TPM-201801.csv,4464
10m-0-203-0-11621-TPM-201803.csv,4464
10m-0-203-0-11621-TPM-201807.csv,4464
10m-0-203-0-11621-TPM-201805.csv,4464
10m-0-203-0-11621-TPM-202008.csv,4464
10m-0-203-0-11621-TPM-202005.csv,4464
10m-0-203-0-11621-TPM-201808.csv,4464
10m-0-203-0-11621-TPM-201810.csv,4464
10m-0-203-0-11621-TPM-201812.csv,4464
10m-0-203-0-11621-TPM-202007.csv,4464
10m-0-203-0-11621-TPM-202003.csv,4464
10m-0-203-0-11621-TPM-202001.csv,4464
10m-0-203-0-11621-TPM-202105.csv,4464
10m-0-203-0-11621-TPM-202107.csv,4464
10m-0-203-0-11621-TPM-202108.csv,4464
10m-0-203-0-11621-TPM-202110.csv,4464
10m-0-203-0-11621-TPM-202101.csv,4464
10m-0-203-0-11621-TPM-202103.csv,4464
10m-0-203-0-11621-TPM-202012.csv,4464
10m-0-203-0-11621-TPM-202010.csv,4464
10m-0-203-0-11621-TPM-201912.csv,4464
10m-0-203-0-11621-TPM-201905.csv,4464
10m-0-203-0-11621-TPM-201907.csv,4464
10m-0-203-0-11621-TPM-202410.csv,4464
10m-0-203-0-11621-TPM-202412.csv,4464
10m-0-203-0-11621-TPM-201908.csv,4464
10m-0-203-0-11621-TPM-202405.csv,4464
10m-0-203-0-11621-TPM-202408.csv,4464
10m-0-203-0-11621-TPM-202112.csv,4464
10m-0-203-0-11621-TPM-202212.csv,4464
10m-0-203-0-11621-TPM-202303.csv,4464
10m-0-203-0-11621-TPM-202208.csv,4464
10m-0-203-0-11621-TPM-202205.csv,4464
10m-0-203-0-11621-TPM-202207.csv,4464
10m-0-203-0-11621-TPM-202203.csv,4464
10m-0-203-0-11621-TPM-202201.csv,4464
10m-0-203-0-11621-TPM-202301.csv,4464
10m-0-203-0-11621-TPM-202210.csv,4464
10m-0-203-0-11621-TPM-201903.csv,4464
10m-0-203-0-11621-TPM-201901.csv,4464
10m-0-203-0-11621-TPM-201910.csv,4464
10m-0-203-0-11621-TPM-202308.csv,4464
10m-0-203-0-11621-TPM-202307.csv,4464
10m-0-203-0-11621-TPM-202305.csv,4464
10m-0-203-0-11621-TPM-202401.csv,4464
10m-0-203-0-11621-TPM-202403.csv,4464
10m-0-203-0-11621-TPM-202407.csv,4464
10m-0-203-0-11621-TPM-202312.csv,4464
10m-0-203-0-11621-TPM-202310.csv,4464
10m-0-203-0-11621-TPM-201806.csv,4320
10m-0-203-0-11621-TPM-201804.csv,4320
10m-0-203-0-11621-TPM-201811.csv,4320
10m-0-203-0-11621-TPM-201909.csv,4320
10m-0-203-0-11621-TPM-201904.csv,4320
10m-0-203-0-11621-TPM-202004.csv,4320
10m-0-203-0-11621-TPM-202006.csv,4320
10m-0-203-0-11621-TPM-201809.csv,4320
10m-0-203-0-11621-TPM-202204.csv,4320
10m-0-203-0-11621-TPM-202206.csv,4320
10m-0-203-0-11621-TPM-202209.csv,4320
10m-0-203-0-11621-TPM-202109.csv,4320
10m-0-203-0-11621-TPM-202104.csv,4320
10m-0-203-0-11621-TPM-202009.csv,4320
10m-0-203-0-11621-TPM-202011.csv,4320
10m-0-203-0-11621-TPM-202111.csv,4320
10m-0-203-0-11621-TPM-202106.csv,4320
10m-0-203-0-11621-TPM-202211.csv,4320
10m-0-203-0-11621-TPM-202304.csv,4320
10m-0-203-0-11621-TPM-201911.csv,4320
10m-0-203-0-11621-TPM-201906.csv,4320
10m-0-203-0-11621-TPM-202409.csv,4320
10m-0-203-0-11621-TPM-202406.csv,4320
10m-0-203-0-11621-TPM-202309.csv,4320
10m-0-203-0-11621-TPM-202306.csv,4320
10m-0-203-0-11621-TPM-202404.csv,4320
10m-0-203-0-11621-TPM-202311.csv,4320
10m-0-203-0-11621-TPM-202411.csv,4320
10m-0-203-0-11621-TPM-202002.csv,4176
10m-0-203-0-11621-TPM-202402.csv,4176
10m-0-203-0-11621-TPM-201802.csv,4032
10m-0-203-0-11621-TPM-202302.csv,4032
10m-0-203-0-11621-TPM-202202.csv,4032
10m-0-203-0-11621-TPM-202102.csv,4032
10m-0-203-0-11621-TPM-201902.csv,4032
